bucket_1,bucket_2,bucket_3,rows,positives,negatives,positive_rate,lift,positive_rate_low_iid,positive_rate_high_iid,low_support
value: email,value: 3,value: 2,1520,84,1436,0.05526315789473684,1.3911430558775792,0.044857319387147904,0.06791127463291688,False
value: email,value: 3,value: 3,1493,60,1433,0.04018754186202277,1.0116435962749595,0.0313484076476349,0.05138677989738688,False
value: email,value: 3,value: 4,1470,27,1443,0.018367346938775512,0.46236241507301473,0.012653489763852905,0.026591883932566538,False
value: email,value: 3,value: 5,1449,24,1425,0.016563146997929608,0.4169451730127025,0.011155358513344715,0.024527446727342087,False
value: referral,value: 1,value: 1,12181,704,11477,0.05779492652491585,1.4548754317159431,0.05378860458577276,0.06208007237585087,False
value: referral,value: 1,value: 2,12119,510,11609,0.04208268008911626,1.0593500337096604,0.038650781646423965,0.0458047861590708,False
value: referral,value: 1,value: 3,12040,315,11725,0.02616279069767442,0.6585976261214453,0.023459225346536078,0.02916862275225137,False
value: referral,value: 1,value: 4,12071,189,11882,0.015657360616353245,0.39414375371562604,0.013591776344871347,0.018031119916160576,False
value: referral,value: 1,value: 5,12120,141,11979,0.011633663366336634,0.29285496202231925,0.009873407969067119,0.013703398094553114,False
value: referral,value: 2,value: 1,6984,822,6162,0.11769759450171821,2.9628091756253796,0.11034923463351264,0.12546628415457284,False
value: referral,value: 2,value: 2,6951,496,6455,0.07135663933247015,1.7962653072994372,0.06553889516521301,0.07764789992091899,False
value: referral,value: 2,value: 3,6935,268,6667,0.038644556596971885,0.9728019281805382,0.034357643344127956,0.04344229804730486,False
value: referral,value: 2,value: 4,6950,151,6799,0.02172661870503597,0.5469255809952415,0.018554068819420802,0.02542758659102077,False
value: referral,value: 2,value: 5,6980,124,6856,0.017765042979942695,0.447200578475587,0.014920887926109908,0.021139704271700466,False
value: referral,value: 3,value: 1,1047,46,1001,0.04393505253104107,1.1059799252622042,0.03309895497991423,0.05810553454246539,False
value: referral,value: 3,value: 2,1024,41,983,0.0400390625,1.0079059156702328,0.029650034605617378,0.053866210126508274,False
value: referral,value: 3,value: 3,983,28,955,0.028484231943031537,0.7170354170681318,0.019779739487480987,0.040859645173360604,False
value: referral,value: 3,value: 4,989,10,979,0.010111223458038422,0.25453048352519625,0.005501367397446691,0.01851199204567449,False
value: referral,value: 3,value: 5,1017,15,1002,0.014749262536873156,0.3712841418973733,0.008958344188684887,0.02419220874809412,False
