feature,period,rows,js_divergence_nats_vs_all
apy_rank_on_widget,2026-02-02/2026-02-08,83060,9.670114605960187e-06
apy_rank_on_widget,2026-02-09/2026-02-15,83265,4.182193244694829e-06
apy_rank_on_widget,2026-02-16/2026-02-22,83080,2.8887897203133558e-06
apy_rank_on_widget,2026-02-23/2026-03-01,84505,7.64334372250506e-06
apy_rank_on_widget,2026-03-02/2026-03-08,83600,7.803317008588435e-06
apy_rank_on_widget,2026-03-09/2026-03-15,82780,4.9666671970978185e-06
apy_rank_on_widget,2026-03-16/2026-03-22,82990,5.597890563145731e-06
apy_rank_on_widget,2026-03-23/2026-03-29,36290,3.9054781928874015e-06
min_investment_amount,2025-12-29/2026-01-04,47505,1.510409351543557e-05
min_investment_amount,2026-01-05/2026-01-11,83530,1.006655470916812e-06
min_investment_amount,2026-01-12/2026-01-18,81920,3.1102078267005264e-06
min_investment_amount,2026-01-19/2026-01-25,83975,1.1818449190162525e-05
min_investment_amount,2026-01-26/2026-02-01,83500,1.7045917707072695e-05
min_investment_amount,2026-02-02/2026-02-08,83060,9.43795918163272e-06
min_investment_amount,2026-02-09/2026-02-15,83265,1.3044091612100372e-05
min_investment_amount,2026-02-16/2026-02-22,83080,9.810039279904622e-06
min_investment_amount,2026-02-23/2026-03-01,84505,2.4256825448122347e-05
min_investment_amount,2026-03-02/2026-03-08,83600,5.8239507083410595e-06
min_investment_amount,2026-03-09/2026-03-15,82780,5.249533096715783e-06
min_investment_amount,2026-03-16/2026-03-22,82990,9.460794226806807e-06
min_investment_amount,2026-03-23/2026-03-29,36290,2.3652717596920453e-05
term_months,2025-12-29/2026-01-04,47505,1.841901226179362e-05
term_months,2026-01-05/2026-01-11,83530,1.4317645733426127e-06
term_months,2026-01-12/2026-01-18,81920,6.65658682161318e-06
term_months,2026-01-19/2026-01-25,83975,1.6375406316496838e-05
term_months,2026-01-26/2026-02-01,83500,5.707372416572114e-06
term_months,2026-02-02/2026-02-08,83060,1.1831405628173349e-05
term_months,2026-02-09/2026-02-15,83265,1.3169179527149218e-05
term_months,2026-02-16/2026-02-22,83080,6.888850347905837e-06
term_months,2026-02-23/2026-03-01,84505,5.19832478760218e-06
term_months,2026-03-02/2026-03-08,83600,1.219384521186626e-05
term_months,2026-03-09/2026-03-15,82780,5.1023502055631636e-06
term_months,2026-03-16/2026-03-22,82990,2.4477445946152123e-05
term_months,2026-03-23/2026-03-29,36290,2.0816300487316885e-05
listing_set,2025-12-29/2026-01-04,47505,1.9322607579881808e-06
listing_set,2026-01-05/2026-01-11,83530,2.3720934560448207e-07
listing_set,2026-01-12/2026-01-18,81920,5.851627228690287e-07
listing_set,2026-01-19/2026-01-25,83975,4.127316653030005e-06
listing_set,2026-01-26/2026-02-01,83500,1.4994586481007472e-10
listing_set,2026-02-02/2026-02-08,83060,6.114497919652006e-07
listing_set,2026-02-09/2026-02-15,83265,1.958358144403711e-06
listing_set,2026-02-16/2026-02-22,83080,3.2915317120139286e-06
listing_set,2026-02-23/2026-03-01,84505,8.352184696117657e-06
listing_set,2026-03-02/2026-03-08,83600,7.867037791981022e-09
listing_set,2026-03-09/2026-03-15,82780,7.237285470469365e-09
listing_set,2026-03-16/2026-03-22,82990,5.60901469906516e-07
listing_set,2026-03-23/2026-03-29,36290,7.93100980570516e-06
mbt_star_rating,2025-12-29/2026-01-04,47505,8.91505744847834e-06
mbt_star_rating,2026-01-05/2026-01-11,83530,7.318117514130677e-06
mbt_star_rating,2026-01-12/2026-01-18,81920,1.1465913621112357e-05
mbt_star_rating,2026-01-19/2026-01-25,83975,3.1413371913579674e-06
mbt_star_rating,2026-01-26/2026-02-01,83500,1.1856741068590041e-05
mbt_star_rating,2026-02-02/2026-02-08,83060,4.952961551433653e-06
mbt_star_rating,2026-02-09/2026-02-15,83265,3.56136144921614e-06
mbt_star_rating,2026-02-16/2026-02-22,83080,9.095157662082317e-06
mbt_star_rating,2026-02-23/2026-03-01,84505,1.0176926467408195e-05
mbt_star_rating,2026-03-02/2026-03-08,83600,1.2119075620693732e-05
mbt_star_rating,2026-03-09/2026-03-15,82780,1.958484611845222e-05
mbt_star_rating,2026-03-16/2026-03-22,82990,5.70314360126789e-06
mbt_star_rating,2026-03-23/2026-03-29,36290,3.0146667439513372e-05
assets_usd,2025-12-29/2026-01-04,47505,2.8948247948801706e-05
assets_usd,2026-01-05/2026-01-11,83530,1.634507702181432e-05
assets_usd,2026-01-12/2026-01-18,81920,1.0523005098248735e-05
assets_usd,2026-01-19/2026-01-25,83975,1.5329017662335473e-05
assets_usd,2026-01-26/2026-02-01,83500,2.331384340693198e-05
assets_usd,2026-02-02/2026-02-08,83060,1.2434973409119177e-05
assets_usd,2026-02-09/2026-02-15,83265,2.0102082901298377e-05
assets_usd,2026-02-16/2026-02-22,83080,1.2809897675427175e-05
assets_usd,2026-02-23/2026-03-01,84505,8.775002905377746e-06
assets_usd,2026-03-02/2026-03-08,83600,7.778439944607877e-06
assets_usd,2026-03-09/2026-03-15,82780,1.2571592449119779e-05
assets_usd,2026-03-16/2026-03-22,82990,1.436412669171101e-05
assets_usd,2026-03-23/2026-03-29,36290,7.334412411172071e-06
popularity_tier_national,2025-12-29/2026-01-04,47505,2.828877889643109e-06
popularity_tier_national,2026-01-05/2026-01-11,83530,1.5405661097335965e-05
popularity_tier_national,2026-01-12/2026-01-18,81920,1.312049336956399e-06
popularity_tier_national,2026-01-19/2026-01-25,83975,4.465094468294778e-06
popularity_tier_national,2026-01-26/2026-02-01,83500,3.4932968398087303e-07
popularity_tier_national,2026-02-02/2026-02-08,83060,9.988325245627834e-08
popularity_tier_national,2026-02-09/2026-02-15,83265,1.1931213153378484e-06
popularity_tier_national,2026-02-16/2026-02-22,83080,7.556818216634888e-07
popularity_tier_national,2026-02-23/2026-03-01,84505,1.926294214959275e-06
popularity_tier_national,2026-03-02/2026-03-08,83600,4.688767084205651e-07
popularity_tier_national,2026-03-09/2026-03-15,82780,2.268159874213707e-07
popularity_tier_national,2026-03-16/2026-03-22,82990,6.635843937560196e-07
popularity_tier_national,2026-03-23/2026-03-29,36290,1.539038167160372e-05
trust_tier_1to5,2025-12-29/2026-01-04,47505,3.67297739932974e-06
trust_tier_1to5,2026-01-05/2026-01-11,83530,7.197371931391737e-06
trust_tier_1to5,2026-01-12/2026-01-18,81920,1.7384017464782284e-05
trust_tier_1to5,2026-01-19/2026-01-25,83975,2.294843739780668e-06
trust_tier_1to5,2026-01-26/2026-02-01,83500,7.5868098031799005e-06
trust_tier_1to5,2026-02-02/2026-02-08,83060,8.927058572006123e-06
trust_tier_1to5,2026-02-09/2026-02-15,83265,2.3493982593699413e-06
trust_tier_1to5,2026-02-16/2026-02-22,83080,4.9215998770775525e-06
trust_tier_1to5,2026-02-23/2026-03-01,84505,5.05421518392726e-06
trust_tier_1to5,2026-03-02/2026-03-08,83600,6.280874768633996e-06
trust_tier_1to5,2026-03-09/2026-03-15,82780,2.7407958718080093e-06
trust_tier_1to5,2026-03-16/2026-03-22,82990,4.779541115437591e-06
trust_tier_1to5,2026-03-23/2026-03-29,36290,9.522844665766484e-06
widget_pos,2025-12-29/2026-01-04,47505,0.0
widget_pos,2026-01-05/2026-01-11,83530,0.0
widget_pos,2026-01-12/2026-01-18,81920,0.0
widget_pos,2026-01-19/2026-01-25,83975,0.0
widget_pos,2026-01-26/2026-02-01,83500,0.0
widget_pos,2026-02-02/2026-02-08,83060,0.0
widget_pos,2026-02-09/2026-02-15,83265,0.0
widget_pos,2026-02-16/2026-02-22,83080,0.0
widget_pos,2026-02-23/2026-03-01,84505,0.0
widget_pos,2026-03-02/2026-03-08,83600,0.0
widget_pos,2026-03-09/2026-03-15,82780,0.0
widget_pos,2026-03-16/2026-03-22,82990,0.0
widget_pos,2026-03-23/2026-03-29,36290,0.0
inventory_type,2025-12-29/2026-01-04,47505,1.603510790138744e-05
inventory_type,2026-01-05/2026-01-11,83530,6.905007811706227e-07
inventory_type,2026-01-12/2026-01-18,81920,1.651939088085074e-08
inventory_type,2026-01-19/2026-01-25,83975,1.3391734550840043e-07
inventory_type,2026-01-26/2026-02-01,83500,1.8089985076433287e-06
inventory_type,2026-02-02/2026-02-08,83060,3.3881855582233565e-07
inventory_type,2026-02-09/2026-02-15,83265,7.471024318466942e-07
inventory_type,2026-02-16/2026-02-22,83080,1.1384938093623531e-06
inventory_type,2026-02-23/2026-03-01,84505,9.71745268116725e-09
inventory_type,2026-03-02/2026-03-08,83600,4.0103516424399216e-07
inventory_type,2026-03-09/2026-03-15,82780,2.4970764273395137e-08
inventory_type,2026-03-16/2026-03-22,82990,2.648945793046317e-07
inventory_type,2026-03-23/2026-03-29,36290,1.6049809003012986e-07
widget_id,2025-12-29/2026-01-04,47505,0.0
widget_id,2026-01-05/2026-01-11,83530,0.0
widget_id,2026-01-12/2026-01-18,81920,0.0
widget_id,2026-01-19/2026-01-25,83975,0.0
widget_id,2026-01-26/2026-02-01,83500,0.0
widget_id,2026-02-02/2026-02-08,83060,0.0
widget_id,2026-02-09/2026-02-15,83265,0.0
widget_id,2026-02-16/2026-02-22,83080,0.0
widget_id,2026-02-23/2026-03-01,84505,0.0
widget_id,2026-03-02/2026-03-08,83600,0.0
widget_id,2026-03-09/2026-03-15,82780,0.0
widget_id,2026-03-16/2026-03-22,82990,0.0
widget_id,2026-03-23/2026-03-29,36290,0.0
device_type_id,2025-12-29/2026-01-04,47505,9.559725721458862e-07
device_type_id,2026-01-05/2026-01-11,83530,1.4758458606854176e-06
device_type_id,2026-01-12/2026-01-18,81920,6.52373154227495e-07
device_type_id,2026-01-19/2026-01-25,83975,6.465450937695916e-06
device_type_id,2026-01-26/2026-02-01,83500,2.563849157433573e-06
device_type_id,2026-02-02/2026-02-08,83060,2.244237280130888e-07
device_type_id,2026-02-09/2026-02-15,83265,9.093392847673829e-07
device_type_id,2026-02-16/2026-02-22,83080,3.1112508425698376e-06
device_type_id,2026-02-23/2026-03-01,84505,4.05970156800412e-08
device_type_id,2026-03-02/2026-03-08,83600,8.785361916041114e-07
device_type_id,2026-03-09/2026-03-15,82780,2.1128338790304653e-06
device_type_id,2026-03-16/2026-03-22,82990,1.912239555487295e-06
device_type_id,2026-03-23/2026-03-29,36290,9.175041490808667e-06
compounding_method,2025-12-29/2026-01-04,47505,2.3383299925480478e-06
compounding_method,2026-01-05/2026-01-11,83530,1.2236038030189345e-06
compounding_method,2026-01-12/2026-01-18,81920,6.34361589838255e-06
compounding_method,2026-01-19/2026-01-25,83975,5.821128428419629e-06
compounding_method,2026-01-26/2026-02-01,83500,3.092165629108739e-06
compounding_method,2026-02-02/2026-02-08,83060,1.2823658179744019e-05
compounding_method,2026-02-09/2026-02-15,83265,4.860994733552721e-06
compounding_method,2026-02-16/2026-02-22,83080,3.453820925113297e-06
compounding_method,2026-02-23/2026-03-01,84505,1.3119396002545774e-05
compounding_method,2026-03-02/2026-03-08,83600,3.7239610867943953e-06
compounding_method,2026-03-09/2026-03-15,82780,4.568482863951176e-06
compounding_method,2026-03-16/2026-03-22,82990,3.6936503252467856e-06
compounding_method,2026-03-23/2026-03-29,36290,1.540813202634858e-06
state_code,2025-12-29/2026-01-04,47505,4.168719204938594e-05
state_code,2026-01-05/2026-01-11,83530,4.063390121269982e-06
state_code,2026-01-12/2026-01-18,81920,1.7005814800717078e-05
state_code,2026-01-19/2026-01-25,83975,1.6586850246496929e-06
state_code,2026-01-26/2026-02-01,83500,1.6857955297456596e-05
state_code,2026-02-02/2026-02-08,83060,1.2847434398358722e-05
state_code,2026-02-09/2026-02-15,83265,1.5299721566406432e-05
state_code,2026-02-16/2026-02-22,83080,1.5584540132198403e-05
state_code,2026-02-23/2026-03-01,84505,1.3487212470203286e-05
state_code,2026-03-02/2026-03-08,83600,1.3533562826074531e-05
state_code,2026-03-09/2026-03-15,82780,1.0456174526945031e-05
state_code,2026-03-16/2026-03-22,82990,4.984834690405775e-06
state_code,2026-03-23/2026-03-29,36290,4.09900734133266e-05
advertiser_customer_id,2025-12-29/2026-01-04,47505,3.8392410076973376e-05
advertiser_customer_id,2026-01-05/2026-01-11,83530,1.713688579137742e-05
advertiser_customer_id,2026-01-12/2026-01-18,81920,1.1559758092238489e-05
advertiser_customer_id,2026-01-19/2026-01-25,83975,1.4845992666805605e-05
advertiser_customer_id,2026-01-26/2026-02-01,83500,2.089535557679324e-05
advertiser_customer_id,2026-02-02/2026-02-08,83060,2.424184430412665e-05
advertiser_customer_id,2026-02-09/2026-02-15,83265,3.22356144105841e-05
advertiser_customer_id,2026-02-16/2026-02-22,83080,1.968238991535062e-05
advertiser_customer_id,2026-02-23/2026-03-01,84505,1.7309251977853608e-05
advertiser_customer_id,2026-03-02/2026-03-08,83600,4.008056129964548e-05
advertiser_customer_id,2026-03-09/2026-03-15,82780,2.0753775933735842e-05
advertiser_customer_id,2026-03-16/2026-03-22,82990,1.6806056332257206e-05
advertiser_customer_id,2026-03-23/2026-03-29,36290,8.55583677192071e-05
advertiser_account_id,2025-12-29/2026-01-04,47505,4.919248446734667e-05
advertiser_account_id,2026-01-05/2026-01-11,83530,2.1774217011466308e-05
advertiser_account_id,2026-01-12/2026-01-18,81920,2.9591324930704916e-05
advertiser_account_id,2026-01-19/2026-01-25,83975,2.2689943489608783e-05
advertiser_account_id,2026-01-26/2026-02-01,83500,2.864572442341762e-05
advertiser_account_id,2026-02-02/2026-02-08,83060,5.16363059018565e-05
advertiser_account_id,2026-02-09/2026-02-15,83265,3.91010965263393e-05
advertiser_account_id,2026-02-16/2026-02-22,83080,1.959089175643023e-05
advertiser_account_id,2026-02-23/2026-03-01,84505,3.424684822720687e-05
advertiser_account_id,2026-03-02/2026-03-08,83600,2.4211616973918108e-05
advertiser_account_id,2026-03-09/2026-03-15,82780,3.8400966810491106e-05
advertiser_account_id,2026-03-16/2026-03-22,82990,1.6031201277013875e-05
advertiser_account_id,2026-03-23/2026-03-29,36290,3.595293668165205e-05
listing_style_id,2025-12-29/2026-01-04,47505,2.8621992939685493e-06
listing_style_id,2026-01-05/2026-01-11,83530,3.858728382697312e-06
listing_style_id,2026-01-12/2026-01-18,81920,1.1525456373545099e-05
listing_style_id,2026-01-19/2026-01-25,83975,7.925094087851214e-07
listing_style_id,2026-01-26/2026-02-01,83500,5.293978428844962e-06
listing_style_id,2026-02-02/2026-02-08,83060,4.698340590222613e-06
listing_style_id,2026-02-09/2026-02-15,83265,5.381736441183312e-07
listing_style_id,2026-02-16/2026-02-22,83080,8.404427038879922e-07
listing_style_id,2026-02-23/2026-03-01,84505,5.272282213058166e-07
listing_style_id,2026-03-02/2026-03-08,83600,1.5425640586238033e-06
listing_style_id,2026-03-09/2026-03-15,82780,5.5811165669290155e-06
listing_style_id,2026-03-16/2026-03-22,82990,3.3322456330917403e-06
listing_style_id,2026-03-23/2026-03-29,36290,3.517964537322598e-06
publisher.accountid,2025-12-29/2026-01-04,47505,4.038503983543115e-05
publisher.accountid,2026-01-05/2026-01-11,83530,1.910500042396563e-05
publisher.accountid,2026-01-12/2026-01-18,81920,1.9889555072916547e-05
publisher.accountid,2026-01-19/2026-01-25,83975,3.048282973413445e-05
publisher.accountid,2026-01-26/2026-02-01,83500,2.94749841011346e-05
publisher.accountid,2026-02-02/2026-02-08,83060,2.0422003802947732e-05
publisher.accountid,2026-02-09/2026-02-15,83265,1.7952891484776655e-05
publisher.accountid,2026-02-16/2026-02-22,83080,2.33998893609344e-05
publisher.accountid,2026-02-23/2026-03-01,84505,3.1395903287778526e-05
publisher.accountid,2026-03-02/2026-03-08,83600,3.7752557091934385e-05
publisher.accountid,2026-03-09/2026-03-15,82780,4.444119070319411e-05
publisher.accountid,2026-03-16/2026-03-22,82990,2.676118292198905e-05
publisher.accountid,2026-03-23/2026-03-29,36290,3.857078690693651e-05
media_channel,2025-12-29/2026-01-04,47505,4.928109830125101e-07
media_channel,2026-01-05/2026-01-11,83530,3.2881877935256024e-06
media_channel,2026-01-12/2026-01-18,81920,1.961675464397533e-06
media_channel,2026-01-19/2026-01-25,83975,5.586373966594911e-06
media_channel,2026-01-26/2026-02-01,83500,5.730843857520658e-06
media_channel,2026-02-02/2026-02-08,83060,1.1781959913118383e-06
media_channel,2026-02-09/2026-02-15,83265,8.66208281680164e-06
media_channel,2026-02-16/2026-02-22,83080,4.1345903854155335e-06
media_channel,2026-02-23/2026-03-01,84505,5.942504136210524e-06
media_channel,2026-03-02/2026-03-08,83600,6.626101987086935e-06
media_channel,2026-03-09/2026-03-15,82780,1.5303786778589478e-06
media_channel,2026-03-16/2026-03-22,82990,7.264949353108919e-06
media_channel,2026-03-23/2026-03-29,36290,1.320670950904232e-05
publisher_customer_id,2025-12-29/2026-01-04,47505,2.9577764136960774e-05
publisher_customer_id,2026-01-05/2026-01-11,83530,3.56533375902392e-05
publisher_customer_id,2026-01-12/2026-01-18,81920,2.5107900294707883e-05
publisher_customer_id,2026-01-19/2026-01-25,83975,2.101211891069447e-05
publisher_customer_id,2026-01-26/2026-02-01,83500,3.2773828500113546e-05
publisher_customer_id,2026-02-02/2026-02-08,83060,2.478563043804375e-05
publisher_customer_id,2026-02-09/2026-02-15,83265,1.9719123821149743e-05
publisher_customer_id,2026-02-16/2026-02-22,83080,2.028667401787304e-05
publisher_customer_id,2026-02-23/2026-03-01,84505,2.74856024714795e-05
publisher_customer_id,2026-03-02/2026-03-08,83600,9.13550016254685e-06
publisher_customer_id,2026-03-09/2026-03-15,82780,4.6033233534356314e-05
publisher_customer_id,2026-03-16/2026-03-22,82990,2.440042968757701e-05
publisher_customer_id,2026-03-23/2026-03-29,36290,5.7428014780373445e-05
service_code,2025-12-29/2026-01-04,47505,4.935561082377574e-07
service_code,2026-01-05/2026-01-11,83530,1.7093428851947046e-06
service_code,2026-01-12/2026-01-18,81920,1.053736740990736e-06
service_code,2026-01-19/2026-01-25,83975,3.0669779992210243e-06
service_code,2026-01-26/2026-02-01,83500,1.1266295771650753e-06
service_code,2026-02-02/2026-02-08,83060,1.1767215845702839e-05
service_code,2026-02-09/2026-02-15,83265,5.071297918774765e-06
service_code,2026-02-16/2026-02-22,83080,2.5220125110964884e-06
service_code,2026-02-23/2026-03-01,84505,7.672122435897375e-06
service_code,2026-03-02/2026-03-08,83600,2.5713138782022777e-07
service_code,2026-03-09/2026-03-15,82780,1.4268341989648518e-06
service_code,2026-03-16/2026-03-22,82990,2.2209326460929664e-06
service_code,2026-03-23/2026-03-29,36290,1.8631422805056338e-07
week_day,2025-12-29/2026-01-04,47505,0.1779439101434166
week_day,2026-01-05/2026-01-11,83530,4.235316411197799e-05
week_day,2026-01-12/2026-01-18,81920,2.332277965833818e-05
week_day,2026-01-19/2026-01-25,83975,4.5717627372963716e-05
week_day,2026-01-26/2026-02-01,83500,5.176616193789535e-05
week_day,2026-02-02/2026-02-08,83060,6.126698366712398e-05
week_day,2026-02-09/2026-02-15,83265,5.067056530761306e-05
week_day,2026-02-16/2026-02-22,83080,7.229067803157247e-05
week_day,2026-02-23/2026-03-01,84505,4.566093755914446e-05
week_day,2026-03-02/2026-03-08,83600,3.0301512024545535e-05
week_day,2026-03-09/2026-03-15,82780,5.509918530314444e-05
week_day,2026-03-16/2026-03-22,82990,9.73417232956466e-05
week_day,2026-03-23/2026-03-29,36290,0.25705197532912716
