feature,bucket_code,bucket_label
publisher_customer_id,21,value: 55
service_code,0,[missing]
service_code,1,[other: 0 pooled levels]
service_code,2,value: MONEY_MARKET
service_code,3,value: SAVINGS
service_code,4,value: CD
week_day,0,[missing]
week_day,1,[other: 0 pooled levels]
week_day,2,value: 5
week_day,3,value: 4
week_day,4,value: 0
week_day,5,value: 1
week_day,6,value: 2
week_day,7,value: 3
week_day,8,value: 6
